Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks,Test Statistics,p-value,#Lags Used,Number of Observations,Critical Value(1%),Critical Value(5%),Critical Value(10%),Stationarity At 1% Critical Size,Stationarity At 5% Critical Size,Stationarity At 10% Critical Size
FJR,PMC,CX,C,,,,,162.5,2.5,65.0,1.0,66.0,,,,,,,,,,,
FRA,AKE,CX,C,6.0,1.325,0.8544206939337451,-6.245004513516506e-17,1.3478260869565217,0.30434782608695654,1.0434782608695652,0.30434782608695654,1.3478260869565217,0.0,-2.695334129629486,0.07484915437780806,9.0,17.0,-3.889265672705068,-3.0543579727254224,-2.66698384083045,False,False,True
FRA,PMC,CX,C,-197.04347826086956,-14.172718585762064,21.58944247431182,1.925465838509317,144.1304347826087,341.17391304347825,53.78260869565217,81.69565217391305,135.47826086956522,0.0,-17.640621088517182,3.760443711144212e-30,0.0,313.0,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675,True,True,True
FUK,AKE,CX,C,,,,,0.13043478260869565,0.2608695652173913,0.13043478260869565,0.2608695652173913,0.391304347826087,,-0.0,0.958532086060056,3.0,5.0,-6.045114,-3.9292800000000003,-2.98681,False,False,False
FUK,PMC,CX,C,-33.43478260869565,-2.639965107356412,2.976832727835767,-0.12987881683533856,18.130434782608695,51.56521739130435,6.3478260869565215,21.217391304347824,27.565217391304348,2.0,-10.350470330702915,2.5445918304065965e-18,1.0,288.0,-3.453261605529366,-2.87162848654246,-2.5721455328896603,True,True,True
GDL,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
GDL,PMC,CX,C,38.44444444444444,8.512962962962964,3.671717434161258,1.5714285714285712,30.53846153846154,0.0,7.230769230769231,0.0,7.230769230769231,0.0,-7.473325441185111,4.988133699762616e-11,0.0,48.0,-3.5745892596209488,-2.9239543084490744,-2.6000391840277777,True,True,True
HAN,AKE,CX,C,-11.0,-2.75,0.7071067811865476,1.1,4.913043478260869,16.782608695652176,4.304347826086956,6.869565217391305,11.173913043478262,0.0,-4.601899525815041,0.00012813231122574305,0.0,27.0,-3.6996079738860943,-2.9764303469999494,-2.627601001371742,True,True,True
HAN,PMC,CX,C,467.3478260869565,39.17502787068006,96.22774889154007,10.217232767232764,1044.0434782608695,576.695652173913,75.95652173913044,48.34782608695652,124.30434782608695,2.0,-4.6833590886555205,9.042330356009518e-05,10.0,261.0,-3.4556556713934934,-2.872678352489859,-2.57270548832225,True,True,True
HKG,AKE,CX,C,205.47826086956522,14.888198757763973,19.897064202572885,0.7370043000477782,333.30434782608694,127.82608695652173,138.43478260869566,88.73913043478261,227.17391304347825,1.0,-2.8159912979291404,0.05602558240582702,7.0,307.0,-3.4518314994261337,-2.8710009653519166,-2.571810878948318,False,False,True
